lat,lon,id,dest_type,name,hazard,operational
29.77433416,-95.39110324,72,medical_clinic,Memorial Hermann Convenient Care Center,hurricane,FALSE
30.08640484,-95.53553234,73,medical_clinic,Memorial Hermann Convenient Care Center in Spring,hurricane,FALSE
29.73448281,-95.42250498,74,medical_clinic,Memorial Hermann Imaging Center,hurricane,FALSE
30.04760814,-95.18379613,75,medical_clinic,Memorial Hermann Medical Group,hurricane,TRUE
29.90440728,-95.63178522,76,medical_clinic,Memorial Hermann Medical Group Copperfield,hurricane,FALSE
30.04752804,-95.18397993,77,medical_clinic,Memorial Hermann Sports Medicine and Rehabilitation,hurricane,TRUE
29.7939911,-95.51362716,78,medical_clinic,Memorial MRI & Diagnostic,hurricane,FALSE
29.7764978,-95.41127099,79,medical_clinic,Men's T Clinic,hurricane,FALSE
29.74391871,-95.3645661,80,medical_clinic,Midtown Pain & Rehabilitation Center,hurricane,FALSE
29.74468441,-95.36528061,81,medical_clinic,Midtown Surgical Center,hurricane,FALSE
29.86113899,-95.64573602,82,medical_clinic,Neighbors Emergency Center,hurricane,TRUE
29.89677508,-95.63704452,83,medical_clinic,Next Level Urgent Care,hurricane,FALSE
29.82736439,-95.42923458,84,medical_clinic,Night Light Pediatric Urgent Care,hurricane,FALSE
29.99356397,-95.73972509,85,medical_clinic,North Cypress Emergency Room,hurricane,FALSE
30.02321485,-95.43535677,86,medical_clinic,North Houston Endoscopy & Surgery,hurricane,FALSE
29.8121318,-95.4352911,87,medical_clinic,Physician Specialty Center,hurricane,FALSE
29.91683846,-95.63069037,88,medical_clinic,Placemark,hurricane,FALSE
30.07350008,-95.50374137,89,medical_clinic,Placemark,hurricane,FALSE
29.9445912,-95.64776562,90,medical_clinic,Placemark,hurricane,TRUE
29.91627814,-95.63078268,91,medical_clinic,Placemark,hurricane,FALSE
29.72278065,-95.46764382,92,medical_clinic,Placemark,hurricane,FALSE
29.70403532,-95.46817112,93,medical_clinic,Placemark,hurricane,FALSE
29.80113019,-95.42547574,94,medical_clinic,Placemark,hurricane,FALSE
29.92015211,-95.6135122,95,medical_clinic,Placemark,hurricane,FALSE
30.073527,-95.49851121,96,medical_clinic,Placemark,hurricane,FALSE
29.91607415,-95.63117262,97,medical_clinic,Placemark,hurricane,FALSE
29.73626883,-95.57222597,98,medical_clinic,Placemark,hurricane,FALSE
29.91669626,-95.62970778,99,medical_clinic,Placemark,hurricane,FALSE
29.91907198,-95.61259096,100,medical_clinic,Placemark,hurricane,FALSE
29.70650882,-95.48312497,101,medical_clinic,Planned Parenthood,hurricane,FALSE
30.06062364,-95.24788911,102,medical_clinic,Quest Diagnostics,hurricane,FALSE
29.75380321,-95.40610399,103,medical_clinic,Restore Hyper Wellness & Cryotherapy,hurricane,FALSE
29.72573731,-95.3774278,104,medical_clinic,Rheumatic Disease Clinic of Houston,hurricane,FALSE
29.73109201,-95.36187415,105,medical_clinic,Riverside Dialysis Center,hurricane,FALSE
29.72583652,-95.31593566,106,medical_clinic,San Antonio Clinic,hurricane,FALSE
29.72605281,-95.31744861,107,medical_clinic,Santa Clara Family Clinic,hurricane,FALSE
29.81806399,-95.42916958,108,medical_clinic,Select Physical Therapy,hurricane,FALSE
29.72277981,-95.46763637,109,medical_clinic,SignatureCare Emergency Center,hurricane,FALSE
29.73627771,-95.57222585,110,medical_clinic,SignatureCare Emergency Center,hurricane,FALSE
29.70524124,-95.42151166,111,medical_clinic,"Spencer R. Berthelsen, M.D., Main Campus",hurricane,FALSE
29.8003115,-95.49449276,112,medical_clinic,Spring Branch Hillendahl Clinic,hurricane,FALSE
30.05772295,-95.54400504,113,medical_clinic,Spring Urgent Care,hurricane,FALSE
29.93522626,-95.21523343,114,medical_clinic,Summer Creek Physicians,hurricane,FALSE
29.80669629,-95.39908059,115,medical_clinic,Texas Children's Pedatrics,hurricane,FALSE
29.70445501,-95.34483721,116,medical_clinic,Texas Children's Pediatrics Cullen,hurricane,FALSE
29.69621731,-95.29714312,117,medical_clinic,Texas Children's Pediatrics Gulfgate,hurricane,FALSE
30.08344711,-95.62902474,118,medical_clinic,Texas Sports Medicine Center,hurricane,FALSE
30.04869774,-95.23561742,119,medical_clinic,The Center for Wound Care,hurricane,FALSE
30.04870154,-95.23545392,120,medical_clinic,The Woman's Place Kingwood,hurricane,FALSE
29.7767746,-95.3654535,121,medical_clinic,Thomas Street Health Center,hurricane,FALSE
30.05183984,-95.18625163,122,medical_clinic,Town Center Family Practice,hurricane,TRUE
30.04834454,-95.18523263,123,medical_clinic,Town Center Foot and Ankle,hurricane,TRUE
29.71881701,-95.34433449,124,medical_clinic,UH Health Center,hurricane,FALSE
30.13914292,-95.22694662,125,medical_clinic,UTMB Health Regional Maternal and Child Health Program,hurricane,FALSE
29.93512286,-95.21524003,126,medical_clinic,Urgent Care & Weight Loss,hurricane,FALSE
29.7076125,-95.50022692,127,medical_clinic,Vallbona Health Center,hurricane,FALSE
29.85035218,-95.38396319,128,medical_clinic,Vecino Airline Children's Clinic,hurricane,FALSE
29.7802962,-95.30986151,129,medical_clinic,Vecino's Denver Harbor Family Clinic,hurricane,FALSE
29.83065325,-95.70728386,130,medical_clinic,West Houston Community Health Center,hurricane,FALSE
29.66115488,-95.68651892,131,medical_clinic,West Oaks Urgent Care,hurricane,FALSE
29.7708553,-95.40922669,132,medical_clinic,Woman's Health,hurricane,FALSE
29.74715205,-95.36443141,133,medical_clinic,Women's Outpatient Center,hurricane,FALSE
29.74227012,-95.500856,134,primary_school,AL-HADI SCHOOL OF ACCELERATIVE LEARNING,hurricane,FALSE
29.6724513,-95.2768296,135,primary_school,ALCOTT EL,hurricane,FALSE
29.6876826,-95.60782669,136,primary_school,ALEXANDER EL,hurricane,FALSE
29.71315525,-95.590799,137,primary_school,ALIEF MONTESSORI COMMUNITY SCHOOL,hurricane,FALSE
29.60041047,-95.41742955,138,primary_school,ALMEDA EL,hurricane,FALSE
29.8681522,-95.43049303,139,primary_school,ANDERSON ACADEMY,hurricane,FALSE
29.64914955,-95.48797655,140,primary_school,ANDERSON EL,hurricane,TRUE
30.03691305,-95.33351567,141,primary_school,ANDERSON EL,hurricane,FALSE
29.9426878,-95.7175899,142,primary_school,ANDRE EL,hurricane,FALSE
29.7396152,-95.39320718,143,primary_school,ANNUNCIATION ORTHODOX SCHOOL,hurricane,FALSE
29.8114892,-95.4129218,144,primary_school,ARABIC IMMERSION MAGNET SCHOOL,hurricane,FALSE
29.79650812,-95.82177788,145,primary_school,ARISTOI CLASSICAL ACADEMY,hurricane,FALSE
29.6152692,-95.2507591,146,primary_school,ARLYNE & ALAN WEBER EL,hurricane,FALSE
29.594188,-95.115463,147,primary_school,ARMAND BAYOU EL,hurricane,FALSE
