id_orig,key_0,medical_clinic,primary_school,supermarket,population
7024302,7024302,2213.9,1820.0,1884.8,174
7024303,7024303,1988.3,1693.2,1659.2,138
7024304,7024304,2154.1,1859.0,1824.9,132
7024305,7024305,4041.4,2770.8,2972.1,165
7024306,7024306,2042.5,1022.1,1915.2,141
7024307,7024307,1939.1,1573.9,1609.9,147
7024308,7024308,2098.1,1077.8,1903.7,150
7024309,7024309,1848.9,828.5,1654.4,123
7024310,7024310,1614.3,412.7,1285.2,162
7024311,7024311,1763.5,804.8,1434.3,186
7024312,7024312,1552.8,594.0,1223.6,180
7024313,7024313,1369.4,347.9,1040.3,180
7024314,7024314,1829.7,1587.0,1500.6,174
7024315,7024315,1379.7,1084.6,1050.5,183
7024316,7024316,1074.5,605.1,745.4,135
7024317,7024317,1362.2,860.3,1033.1,168
7024318,7024318,965.0,555.8,635.9,183
7024319,7024319,5707.5,5427.0,5716.9,90
7024320,7024320,3516.6,3303.1,3828.9,192
7024321,7024321,1943.1,2017.9,2890.3,195
7024322,7024322,1616.6,1107.5,1979.9,159
7024323,7024323,1357.6,1554.6,2126.7,141
7024324,7024324,928.3,1389.1,1697.4,156
7024325,7024325,1551.8,810.2,1682.7,159
7024326,7024326,1014.4,1382.5,1690.8,195
7024327,7024327,1457.2,715.6,1588.1,186
7024328,7024328,1085.6,1026.7,1335.1,219
7024329,7024329,532.3,1068.8,1488.4,189
7024330,7024330,1712.4,692.0,1564.5,159
7024331,7024331,1427.6,298.5,1171.0,150
7024332,7024332,1115.1,891.8,1072.8,183
7024333,7024333,1200.4,186.3,871.3,93
7024334,7024334,1087.6,416.4,1045.3,105
7024335,7024335,1172.9,949.6,1130.6,189
7024336,7024336,974.0,858.9,1499.8,177
7024337,7024337,1190.0,838.6,1441.0,150
7024338,7024338,961.1,381.1,631.9,150
7024339,7024339,1276.0,1052.7,1233.6,165
7024340,7024340,836.0,702.7,1013.7,111
7024341,7024341,1041.7,483.9,734.7,219
7024342,7024342,653.4,520.1,1149.0,153
7024343,7024343,606.2,472.9,1101.8,174
7024344,7024344,593.9,659.3,735.3,105
7024345,7024345,416.9,762.0,651.1,111
7024346,7024346,5216.0,4935.5,5225.5,156
7024347,7024347,3502.5,2980.1,3270.1,81
7024348,7024348,3917.6,3757.0,2316.3,180
7024349,7024349,3200.8,2678.4,1638.9,138
7024350,7024350,3391.3,2868.9,1829.4,135
7024351,7024351,3374.3,3316.8,1773.0,204
7024352,7024352,3191.6,2912.1,1590.3,99
7024353,7024353,3249.8,2968.6,1648.4,135
7024354,7024354,3039.2,2878.6,1437.9,183
7024355,7024355,3246.1,3051.1,1644.8,99
7024356,7024356,3079.3,2884.3,1478.0,111
7024357,7024357,1613.2,1881.4,2278.8,150
7024358,7024358,1372.6,2065.3,2448.0,342
7024359,7024359,1632.5,1900.6,2007.4,174
7024360,7024360,964.9,448.4,1860.3,156
7024361,7024361,1289.4,806.5,1769.7,126
7024362,7024362,1168.6,685.8,1801.9,171
7024363,7024363,1005.2,1308.3,2830.0,117
7024364,7024364,1398.8,1728.4,2783.5,150
7024365,7024365,821.8,1053.1,2818.5,171
7024366,7024366,867.0,1627.7,1962.5,201
7024367,7024367,558.6,1294.7,2312.6,102
7024368,7024368,461.1,1435.6,2053.4,186
7024369,7024369,824.3,569.9,2519.6,165
7024370,7024370,200.4,1195.5,2221.1,117
7024371,7024371,263.5,1353.2,2284.2,204
7024372,7024372,403.7,1212.5,2018.3,126
7024373,7024373,517.3,1326.1,2132.0,180
7024374,7024374,473.6,878.1,2222.7,189
7024375,7024375,416.5,798.3,1704.2,210
7024376,7024376,637.1,1041.6,2166.9,198
7024377,7024377,598.2,865.1,1771.0,183
7024378,7024378,2749.0,2226.5,2516.5,42
7024379,7024379,1725.7,1203.3,896.1,210
7024380,7024380,1925.1,1402.7,1138.9,126
7024381,7024381,1961.2,1438.8,1175.0,183
7024382,7024382,2115.8,1593.4,1329.6,129
7024383,7024383,1934.5,1412.1,642.8,132
7024384,7024384,2377.0,1854.6,1236.2,144
7024385,7024385,2594.1,2071.7,1430.8,114
7024386,7024386,2408.6,1886.2,1267.8,105
7024387,7024387,2039.1,1516.7,898.3,93
7024388,7024388,2556.0,2360.9,954.6,135
7024389,7024389,1861.2,1338.7,492.1,168
7024390,7024390,2080.2,1557.8,711.2,147
7024391,7024391,2699.5,2489.4,1098.2,222
7024392,7024392,2103.5,1908.5,502.2,96
7024393,7024393,2087.1,1892.1,485.8,126
7024394,7024394,2413.3,2218.3,812.0,153
7024395,7024395,2165.5,1970.5,564.2,147
7024396,7024396,2360.7,2165.7,759.4,114
7024397,7024397,2795.0,2600.0,1193.7,159
7024398,7024398,2433.0,2238.0,831.7,159
7024399,7024399,2321.0,2125.9,719.7,105
7024400,7024400,2290.2,2095.2,688.9,171
7024401,7024401,2550.6,2355.6,949.3,117
7024402,7024402,1056.5,1304.5,2551.5,183
7024403,7024403,840.4,1088.4,2335.4,111
7024404,7024404,745.6,993.6,2240.6,150
7024405,7024405,1525.1,1038.5,3020.1,156
7024406,7024406,668.7,452.9,2163.7,117
7024407,7024407,600.3,384.5,2095.3,99
7024408,7024408,1496.7,1744.7,1448.4,117
7024409,7024409,1701.9,1949.9,1653.6,114
7024410,7024410,1874.4,2122.4,1826.0,99
7024411,7024411,1477.5,1725.5,1429.2,171
7024412,7024412,692.0,940.0,2039.6,213
7024413,7024413,589.4,837.4,2062.9,153
7024414,7024414,652.7,900.7,2000.3,165
7024415,7024415,666.1,914.1,2139.6,138
7024416,7024416,903.4,386.9,2336.5,213
7024417,7024417,587.0,191.6,2020.2,147
7024418,7024418,735.8,252.9,2017.2,132
7024419,7024419,716.4,233.6,1967.4,210
7024420,7024420,1229.2,746.3,1862.4,96
7024421,7024421,839.3,356.4,1649.4,114
