,dest_type,name,lon,lat
0,medical_clinic,AFC Urgent Care Houston,-95.44230510483101,29.72221477817944
1,medical_clinic,Accident Injury Rehab Clinic,-95.31237101355828,29.71211951085575
2,medical_clinic,Action Chiropractic,-95.18707433026007,30.05490253641201
3,medical_clinic,Ageless Men's Health,-95.53070255433408,29.78691570294946
4,medical_clinic,AnyLabTestNow,-95.40970088409466,29.81371589334998
5,medical_clinic,Bay Area Surgicare Center,-95.12796666840588,29.54044563999428
6,medical_clinic,Baylor College of Medicine Medical Center,-95.39436902814623,29.6986805153801
7,medical_clinic,Baylor Family Practice,-95.4184265854523,29.73325851010986
8,medical_clinic,Baylor Saint Luke’s Emergency Center–Holcombe,-95.42066228612215,29.70527971591585
9,medical_clinic,Bayou City Healthcare,-95.43211177886656,29.80233829644003
10,medical_clinic,Baytown Health Center,-94.97667509833917,29.7446913928282
11,medical_clinic,Bellissima Women's Clinic,-95.54075544366896,29.96612526675452
12,medical_clinic,Bender's Landing Urgent Care,-95.3791485779913,30.11975862987896
13,medical_clinic,Brae Valley Surgical Center,-95.4268619858252,29.67613882209631
14,medical_clinic,Clear Dermatology,-95.68678620850815,29.78595843146379
15,medical_clinic,Clinica Hispana,-95.23528851568499,30.10263852834795
16,medical_clinic,Clinica Hispana,-95.38480298907504,29.84482208614039
17,medical_clinic,Clinica Hispana Berry,-95.37651011854341,29.83716651242243
18,medical_clinic,Clutch City Dialysis,-95.35900520194211,29.70458391397596
19,medical_clinic,Cy-Fair Medical Partners,-95.68303521052245,29.89562888600518
20,medical_clinic,Cy-Fair Surgery Center,-95.58811783339172,29.92589207657848
21,medical_clinic,DaVita Dialysis,-95.37627531653173,29.83876635008722
22,medical_clinic,DaVita Dialysis,-95.23816931361674,30.13143772257862
23,medical_clinic,DaVita Dialysis,-95.38331678997855,29.83318558846882
24,medical_clinic,DaVita Dialysis,-95.73903849176249,29.99371026801562
25,medical_clinic,DaVita Summit Dialysis Center,-95.34851316892538,29.74299115474847
26,medical_clinic,Davita,-95.38854910591837,29.80463602148641
27,medical_clinic,Davita Dialysis,-95.3669185581521,29.74429291410521
28,medical_clinic,Doctors Express Urgent Care,-95.39889528869793,29.77266210138086
29,medical_clinic,ERKaty,-95.8225294803271,29.77637301504634
30,medical_clinic,East Central Houston Dialysis Center,-95.30588421420825,29.73494845595422
31,medical_clinic,El Franco Lee Health Center,-95.572290909459,29.68012077118747
32,medical_clinic,Epione Health Clinic,-95.24611081464926,30.06474253645251
33,medical_clinic,Express Family Clinic,-95.23271761504355,30.13085282250754
34,medical_clinic,Family Health Clinic,-95.24614031464655,30.06463583647528
35,medical_clinic,Family Medicine,-95.71992340546515,29.79907610692208
36,medical_clinic,First Choice Emergency Room,-95.48560776008163,29.91539587518752
37,medical_clinic,First Choice Emergency Room,-95.84132308215,29.76275734345757
38,medical_clinic,First Choice Emergency Room,-95.1963369587754,29.925442908196
39,medical_clinic,First Choice Emergency Room,-95.7471334897931,29.99162156872029
40,medical_clinic,First Choice Emergency Room,-95.03129838834248,29.65274871360927
41,medical_clinic,First Choice Emergency Room,-95.62471093186998,29.75207731326093
42,medical_clinic,Fresenius Kidney Care Fort Bend,-95.564632854761,29.58149074612225
43,medical_clinic,Fresenius Kidney Care Missouri City,-95.52898966382413,29.58251764471828
44,medical_clinic,Grainger Diagnostic Clinic,-95.40825580797545,29.84688553052002
45,medical_clinic,Gramercy Outpatient Surgery Center,-95.42140208599221,29.70393801621569
46,medical_clinic,Gulfgate Clinic,-95.29667651794232,29.70397431199714
47,medical_clinic,Gulfgate Community Health Center,-95.2856079609665,29.69976339248799
48,medical_clinic,HealthOne Emergency Care,-95.24471671589465,29.93563083777347
49,medical_clinic,Her Healthcare,-95.24799991437334,30.06018723744731
50,medical_clinic,Hospitality Urgent Care,-95.5857549506748,29.55157745295953
51,medical_clinic,Houston Eye Associates,-95.63182543659157,29.60449204366495
52,medical_clinic,Houston Heights Emergency Room,-95.39825778700938,29.81406559288838
53,medical_clinic,Houston Methodist Emergency Care,-95.4998089638844,29.74996550945034
54,medical_clinic,Houston Methodist Orthopedics,-95.45902529655622,29.72212761276317
55,medical_clinic,Houston Revival Center,-95.5846192342229,29.92727767617584
56,medical_clinic,Jamail Specialty Care Center,-95.3926855084716,29.70106799683389
57,medical_clinic,Katy Centro Medico Hispano,-95.72007090531984,29.80147340643886
58,medical_clinic,Kelsey Seybold clinic,-95.46067697664034,29.68815382077518
59,medical_clinic,Kelsey-Sebold Clinic,-95.18326143164985,30.04594303810953
60,medical_clinic,Kingwood Spine and Wellness,-95.24705971505975,30.05048123939491
61,medical_clinic,La Michoacana Medical Clinic,-95.39136048568132,29.88287427858863
62,medical_clinic,Lawndale Medical Clinic,-95.29415611797415,29.71784140906665
63,medical_clinic,Lifeline Urgent Care,-95.62606957334188,29.75613502847894
64,medical_clinic,Lifesavers 24/7 Emergency Room,-95.40974838371184,29.82198149166151
65,medical_clinic,MD Anderson Proton Therapy Center,-95.39893404812211,29.69541168720414
66,medical_clinic,Manis Health,-95.68704800742961,29.78622015341938
67,medical_clinic,Maxim Hair Restoration,-95.41252928713334,29.7294054106992
68,medical_clinic,MedExpress,-95.76994749192032,29.81660690506341
69,medical_clinic,MedSpring Urgent Care,-95.5907750397393,29.76995810845693
70,medical_clinic,Medical Plaza 1,-95.7872381458368,29.78714182165038
71,medical_clinic,Medical Plaza 2,-95.7882716685732,29.78714638768471
72,medical_clinic,Memorial Hermann Convenient Care Center,-95.39110323961879,29.774334158774
