osmid,from_
5551953931,5551953931.0
5159823729,5159823729.0
5551953933,5551953933.0
7271316664,7271316664.0
5551953943,5551953943.0
298295802,298295802.0
7437585848,7437585848.0
6167000480,6167000480.0
100360993,100360993.0
1182102513,1182102513.0
1182102494,1182102494.0
7004879790,7004879790.0
7004879790,7004879790.0
4609718563,4609718563.0
6872435558,6872435558.0
6872435556,6872435556.0
1182144702,1182144702.0
6872435548,6872435548.0
1182144702,1182144702.0
6517794327,6517794327.0
1182013639,1182013639.0
1182181113,1182181113.0
7443774899,7443774899.0
6517799842,6517799842.0
1182181311,1182181311.0
6517794327,6517794327.0
1181999851,1181999851.0
6517798792,6517798792.0
100361330,100361330.0
6517787740,6517787740.0
6112137514,6112137514.0
6112155870,6112155870.0
6112155869,6112155869.0
6112155868,6112155868.0
5019269649,5019269649.0
297672205,297672205.0
3102554147,3102554147.0
183001849,183001849.0
297674846,297674846.0
297672235,297672235.0
297672205,297672205.0
251533743,251533743.0
251533746,251533746.0
6666358987,6666358987.0
4539462672,4539462672.0
1103949105,1103949105.0
6417284689,6417284689.0
5760768797,5760768797.0
6220684658,6220684658.0
6220684646,6220684646.0
305588182,305588182.0
297671901,297671901.0
5367658206,5367658206.0
182892091,182892091.0
1173101358,1173101358.0
183001849,183001849.0
183001849,183001849.0
104542597,104542597.0
4851112679,4851112679.0
104543124,104543124.0
4851113413,4851113413.0
251525497,251525497.0
1173101368,1173101368.0
251382134,251382134.0
100352856,100352856.0
1181978815,1181978815.0
100352856,100352856.0
184084169,184084169.0
1182108233,1182108233.0
1181999848,1181999848.0
1173101319,1173101319.0
5055285830,5055285830.0
4851112693,4851112693.0
1173101339,1173101339.0
251388089,251388089.0
251525450,251525450.0
5998788481,5998788481.0
5998788481,5998788481.0
5785284820,5785284820.0
5998788395,5998788395.0
1173101348,1173101348.0
30813998,30813998.0
5785284816,5785284816.0
5785284820,5785284820.0
6105394281,6105394281.0
6105394280,6105394280.0
1173101348,1173101348.0
251525450,251525450.0
324828191,324828191.0
1173101407,1173101407.0
251525496,251525496.0
305588133,305588133.0
7543426871,7543426871.0
5811215207,5811215207.0
2134597163,2134597163.0
312427383,312427383.0
297673433,297673433.0
5019269656,5019269656.0
6103617270,6103617270.0
1156168845,1156168845.0
305588147,305588147.0
182827411,182827411.0
4605390043,4605390043.0
6174039422,6174039422.0
305588311,305588311.0
182871729,182871729.0
297831394,297831394.0
1171521511,1171521511.0
297831408,297831408.0
7409818798,7409818798.0
305588311,305588311.0
305588128,305588128.0
5015593539,5015593539.0
6220748852,6220748852.0
5760761101,5760761101.0
2051797066,2051797066.0
5019292146,5019292146.0
5785284815,5785284815.0
4203723774,4203723774.0
5785284816,5785284816.0
7437426038,7437426038.0
7437426037,7437426037.0
7437426037,7437426037.0
6174035899,6174035899.0
5015593669,5015593669.0
4851113421,4851113421.0
4851113417,4851113417.0
104536659,104536659.0
4851113421,4851113421.0
4851113422,4851113422.0
104540950,104540950.0
1909829938,1909829938.0
297673433,297673433.0
297674833,297674833.0
297674297,297674297.0
5019269656,5019269656.0
297672454,297672454.0
612028832,612028832.0
297822951,297822951.0
7437426568,7437426568.0
7437426567,7437426567.0
1193918302,1193918302.0
5811145855,5811145855.0
5517993902,5517993902.0
5811145855,5811145855.0
291567641,291567641.0
31246755,31246755.0
257908786,257908786.0
667220544,667220544.0
5015441199,5015441199.0
31246755,31246755.0
667220545,667220545.0
7214997716,7214997716.0
4887424458,4887424458.0
1603316381,1603316381.0
1166287144,1166287144.0
1166287443,1166287443.0
1173033311,1173033311.0
1109871191,1109871191.0
1166287225,1166287225.0
5224317484,5224317484.0
250095478,250095478.0
1190762511,1190762511.0
31246984,31246984.0
4920133524,4920133524.0
1184637880,1184637880.0
1184637880,1184637880.0
100368497,100368497.0
1184637722,1184637722.0
297674846,297674846.0
4583560396,4583560396.0
104530348,104530348.0
1909829938,1909829938.0
1185754069,1185754069.0
100370928,100370928.0
100370927,100370927.0
104528985,104528985.0
6102224771,6102224771.0
6106680762,6106680762.0
250095479,250095479.0
667220569,667220569.0
31943494,31943494.0
31943493,31943493.0
100368053,100368053.0
1174928563,1174928563.0
4679226450,4679226450.0
6194603336,6194603336.0
4757170638,4757170638.0
297678963,297678963.0
301105759,301105759.0
297675212,297675212.0
5517993876,5517993876.0
4457583196,4457583196.0
5517993875,5517993875.0
250047000,250047000.0
250047961,250047961.0
5381803522,5381803522.0
5381803522,5381803522.0
297675212,297675212.0
5164566809,5164566809.0
250095787,250095787.0
250095813,250095813.0
1171384721,1171384721.0
7437585842,7437585842.0
1171384714,1171384714.0
1171384721,1171384721.0
360589698,360589698.0
6220748852,6220748852.0
6102198763,6102198763.0
4440216479,4440216479.0
104529643,104529643.0
6101964704,6101964704.0
6101964704,6101964704.0
100332083,100332083.0
1181861985,1181861985.0
1181843656,1181843656.0
1188834028,1188834028.0
7234342960,7234342960.0
4437029771,4437029771.0
250045014,250045014.0
250044682,250044682.0
5325169186,5325169186.0
100327766,100327766.0
251526490,251526490.0
6100779948,6100779948.0
324817753,324817753.0
2123987378,2123987378.0
312426548,312426548.0
5900048895,5900048895.0
305588312,305588312.0
297676139,297676139.0
312426605,312426605.0
312426604,312426604.0
6173863676,6173863676.0
7755737052,7755737052.0
31943414,31943414.0
4887424471,4887424471.0
4887424474,4887424474.0
31943080,31943080.0
4887424474,4887424474.0
4887424477,4887424477.0
4582169991,4582169991.0
667220560,667220560.0
4417103462,4417103462.0
251387994,251387994.0
6717451957,6717451957.0
182942830,182942830.0
5797131248,5797131248.0
182942705,182942705.0
182912546,182912546.0
100314673,100314673.0
6489911324,6489911324.0
6489911331,6489911331.0
6489911331,6489911331.0
6852965253,6852965253.0
5900048433,5900048433.0
182966756,182966756.0
297676983,297676983.0
5797131237,5797131237.0
182942705,182942705.0
5015593693,5015593693.0
1174024318,1174024318.0
251386324,251386324.0
251386629,251386629.0
5900050353,5900050353.0
5015593669,5015593669.0
5076824361,5076824361.0
5076824374,5076824374.0
5076824379,5076824379.0
5076824379,5076824379.0
5076824385,5076824385.0
5076824385,5076824385.0
7684045621,7684045621.0
5076824530,5076824530.0
1182268841,1182268841.0
4437029180,4437029180.0
100361335,100361335.0
2435962697,2435962697.0
2594875399,2594875399.0
4680874383,4680874383.0
6196835445,6196835445.0
6196835448,6196835448.0
6196835447,6196835447.0
4851093653,4851093653.0
6196835450,6196835450.0
4851093662,4851093662.0
6517807326,6517807326.0
7655221333,7655221333.0
