,city,hazard,service,ethnicity,distance,pop_perc_cum,pop_perc
0,christchurch,base,supermarket,all,0.0592,10.93514446,10.93514446
1,christchurch,base,supermarket,all,0.684302,39.23814556,28.3030011
2,christchurch,base,supermarket,all,1.309404,66.01106569,26.77292013
3,christchurch,base,supermarket,all,1.934506,80.26125608,14.25019039
4,christchurch,base,supermarket,all,2.559608,87.80053774,7.539281662
5,christchurch,base,supermarket,all,3.18471,90.84515798,3.044620238
6,christchurch,base,supermarket,all,3.809812,91.86547099,1.02031301
7,christchurch,base,supermarket,all,4.434914,92.67363971,0.808168721
8,christchurch,base,supermarket,all,5.060016,93.77243834,1.098798626
9,christchurch,base,supermarket,all,5.685118,94.18273938,0.410301043
10,christchurch,base,supermarket,all,6.31022,94.67618855,0.493449171
11,christchurch,base,supermarket,all,6.935322,95.25045459,0.574266043
12,christchurch,base,supermarket,all,7.560424,95.39965497,0.149200379
13,christchurch,base,supermarket,all,8.185526,95.70116407,0.3015091
14,christchurch,base,supermarket,all,8.810628,96.34536779,0.644203721
15,christchurch,base,supermarket,all,9.43573,97.0960322,0.750664408
16,christchurch,base,supermarket,all,10.060832,97.74645261,0.650420403
17,christchurch,base,supermarket,all,10.685934,97.95471147,0.208258863
18,christchurch,base,supermarket,all,11.311036,98.14820571,0.193494242
19,christchurch,base,supermarket,all,11.936138,98.47846697,0.330261256
20,christchurch,base,supermarket,all,12.56124,98.78463858,0.306171612
21,christchurch,base,supermarket,all,13.186342,98.91285765,0.128219076
22,christchurch,base,supermarket,all,13.811444,98.99755995,0.084702299
23,christchurch,base,supermarket,all,14.436546,99.25322102,0.255661066
24,christchurch,base,supermarket,all,15.061648,99.4607028,0.207481777
25,christchurch,base,supermarket,all,15.68675,99.5345259,0.073823104
26,christchurch,base,supermarket,all,16.311852,99.5345259,0
27,christchurch,base,supermarket,all,16.936954,99.5345259,0
28,christchurch,base,supermarket,all,17.562056,99.5345259,0
29,christchurch,base,supermarket,all,18.187158,99.5345259,0
30,christchurch,base,supermarket,all,18.81226,99.5345259,0
31,christchurch,base,supermarket,all,19.437362,99.5345259,0
32,christchurch,base,supermarket,all,20.062464,99.5345259,0
33,christchurch,base,supermarket,all,20.687566,99.5345259,0
34,christchurch,base,supermarket,all,21.312668,99.5345259,0
