,Unnamed: 0,city,hazard,service,ethnicity,distance,pop_perc_cum,pop_perc
156,156,christchurch,base,supermarket,asian,3.809812,97.62713692,0.760394758
157,157,christchurch,base,supermarket,asian,4.434914,97.88060184,0.253464919
158,158,christchurch,base,supermarket,asian,5.060016,98.35517446,0.474572615
159,159,christchurch,base,supermarket,asian,5.685118,98.50078197,0.145607507
160,160,christchurch,base,supermarket,asian,6.31022,98.74885401,0.248072049
161,161,christchurch,base,supermarket,asian,6.935322,98.93760449,0.188750472
162,162,christchurch,base,supermarket,asian,7.560424,98.96456884,0.026964353
163,163,christchurch,base,supermarket,asian,8.185526,99.01849755,0.053928706
164,164,christchurch,base,supermarket,asian,8.810628,99.18028366,0.161786119
165,165,christchurch,base,supermarket,asian,9.43573,99.36903414,0.188750472
166,166,christchurch,base,supermarket,asian,10.060832,99.58474896,0.215714825
167,167,christchurch,base,supermarket,asian,10.685934,99.60092757,0.016178612
168,168,christchurch,base,supermarket,asian,11.311036,99.67103489,0.070107318
169,169,christchurch,base,supermarket,asian,11.936138,99.76271369,0.091678801
170,170,christchurch,base,supermarket,asian,12.56124,99.80046379,0.037750094
171,171,christchurch,base,supermarket,asian,13.186342,99.83821388,0.037750094
172,172,christchurch,base,supermarket,asian,13.811444,99.84899962,0.010785741
173,173,christchurch,base,supermarket,asian,14.436546,99.94067842,0.091678801
200,200,christchurch,base,supermarket,polynesian,0.0592,10.12212792,10.12212792
201,201,christchurch,base,supermarket,polynesian,0.684302,39.76402401,29.64189609
202,202,christchurch,base,supermarket,polynesian,1.309404,69.71641482,29.95239081
203,203,christchurch,base,supermarket,polynesian,1.934506,83.70937694,13.99296212
204,204,christchurch,base,supermarket,polynesian,2.559608,90.705858,6.99648106
205,205,christchurch,base,supermarket,polynesian,3.18471,95.40467812,4.69882012
206,206,christchurch,base,supermarket,polynesian,3.809812,95.90146968,0.496791555
207,207,christchurch,base,supermarket,polynesian,4.434914,96.2119644,0.310494722
208,208,christchurch,base,supermarket,polynesian,5.060016,96.6880563,0.476091906
209,209,christchurch,base,supermarket,polynesian,5.685118,96.85365349,0.165597185
210,210,christchurch,base,supermarket,polynesian,6.31022,97.14344856,0.289795073
211,211,christchurch,base,supermarket,polynesian,6.935322,97.16414821,0.020699648
212,212,christchurch,base,supermarket,polynesian,7.560424,97.35044504,0.186296833
213,213,christchurch,base,supermarket,polynesian,8.185526,97.78513765,0.43469261
214,214,christchurch,base,supermarket,polynesian,8.810628,98.07493273,0.289795073
215,215,christchurch,base,supermarket,polynesian,9.43573,98.44752639,0.372593666
216,216,christchurch,base,supermarket,polynesian,10.060832,98.71662182,0.269095425
217,217,christchurch,base,supermarket,polynesian,10.685934,98.882219,0.165597185
218,218,christchurch,base,supermarket,polynesian,11.311036,99.15131443,0.269095425
219,219,christchurch,base,supermarket,polynesian,11.936138,99.35831091,0.206996481
220,220,christchurch,base,supermarket,polynesian,12.56124,99.50320845,0.144897537
221,221,christchurch,base,supermarket,polynesian,13.186342,99.54460774,0.041399296
